Embout,Dc,Q_off,Q_on
V,8,,0.5
V,8,,1
V,8,2,
V,8,1.5,
V,8,,1.2
V,8,1.4,
V,8,1.3,
V,8,1.25,
V,6,,1
V,6,2,
V,6,1.5,
V,6,1.25,
V,6,,1.1
V,6,1.2,
V,4,,1
V,4,1.2,
V,4,1.1,
V,4,,
R,8,1,
R,8,,0.5
R,8,,0.75
R,8,,0.8
R,8,0.9,
R,8,0.85,
R,6,1,
R,6,,0.5
R,6,,0.8
R,6,0.9,
R,4,1,
R,4,,0.7
R,4,,0.8
R,4,0.9,
N,8,,1
N,8,,1.5
N,8,2,
N,8,,1.75
N,8,,1.8
N,8,,1.7
N,8,1.9,
N,6,2,
N,6,,1
N,6,,1.5
N,6,1.75,
N,6,,1.6
N,6,,1.7
N,4,,1.6
N,4,1.8,
N,4,,1.7
